I totally (　　) with this opinion.,agree
We (　　) on this point.,agreed
Spicy food does not (　　) with me.,agree
strongly (　　) the plan,oppose
(　　) him not to eat too much,advise
(　　) on how to use the library,tips
leave a (　　) for the waiter,tip
the (　　) of my toes,tips
(　　) the problem with a specialist,discuss
(　　) my hidden past,discuss
(　　) the car's brakes for the accident,blame
(　　) the accident on the car's brakes,blame
(　　) that reading aloud is important,argue
(　　) with her about training methods,argue
(　　) that a vegetarian diet is better than a meat diet,claim
Does anyone (　　) this umbrella?,claim
make a (　　) against an insurance company,claim
(　　) about their loud music,complain
(　　) of a headache,complain
(　　) him some coffee,offer
refuse his (　　),offer
T-shirts are on special (　　) today.,offer
That letter (　　) that she is quite happy in her job.,suggests
She (　　) to us that we (should) take a break.,suggested
What would you (　　)?,recommend
I am (　　) for your help.,grateful
(　　) to her for being late,apologize
Don't make (　　).,excuses
"(　　) me, but do you happen to know where the station is?",Excuse
He was (　　) from the exam.,excused
(　　) her 18th birthday,celebrate
(　　) Mass,celebrate
(　　) him for his great performance,admire
I was deeply (　　) by his speech.,impressed
an (　　) ceremony,award
She was (　　) first prize. (The first prize went to her.),awarded
Could you (　　) your lost bag?,describe
(　　) the rules of baseball to him,explain
(　　) with each other in sign language,communicate
(　　) my feelings in English,communicate
(　　) your opinions clearly.,Express
on the 9:00 a.m. (　　) (train),express
make a (　　) to lose weight,promise
(　　) her to be back by 5,promise
various kinds of (　　),information
science and (　　),technology
do (　　) on space rockets,research
(　　) an environmental issue,research
collect (　　) for a paper,materials
use movies as teaching (　　),materials
give (　　) support,material
(　　) changes to the schedule,material
(　　) intelligence,artificial
an (　　) car,electric
(　　) a speaking robot,invent
(　　) a fantastic story,invent
(　　) a human mummy,discover
(　　) that the painting is a fake,discover
(　　) the Beatles,discover
(　　) into a big city,develop
(　　) a sense of humor,develop
(　　) software,develop
(　　) your ideas,develop
(　　) pneumonia,develop
improve my tennis (　　),skills
improve my (　　) to speak English,ability
show my musical (　　),talent
make an (　　) to be on time,effort
We have (　　) on Saturday.,practice
put a plan into (　　),practice
the (　　) of sleeping after dinner,practice
(　　) playing the piano,practice
(　　) my religion,practice
a soccer (　　) between Japan and Brazil,game
hunt big (　　),game
(　　) his goal of becoming a vet,achieve
I (　　) to catch the last train.,managed
(　　) my time effectively,manage
(　　) my cooking skills,improve
His English has (　　) recently.,improved
(　　) rice and vegetables,produce
(　　) a ticket from my pocket,produce
fresh farm (　　),produce
(　　) a website,create
(　　) new problems,create
(　　) a close friendship with him,establish
This publishing company was (　　) in 1950.,established
This will (　　) you a lot of trouble.,save
(　　) some money every month,save
You (　　) my life.,saved
answer all of the questions (　　) one,save
take the (　　) twice a day,medicine
study (　　) at Harvard,medicine
The (　　) is getting better.,patient
Teachers need to be (　　).,patient
My body is in good (　　).,condition
work under(on) bad (　　),conditions
(　　) expenses,medical
(　　) science,medical
have a lot of (　　),stress
put (lay) (　　) on foreign language education,stress
(　　) the importance of teamwork,stress
I am (　　) from jet lag.,suffering
The company (　　) a heavy loss.,suffered
get light (　　),exercise
piano (　　),exercises
(　　) regularly,exercise
(　　) the right to vote,exercise
(　　) deeply,breathe
I'm really (　　).,thirsty
He is (　　) for power.,thirsty
(　　) health,physical
a (　　) phenomenon,physical
I have a (　　).,fever
be gripped by soccer (　　),fever
built up my (　　) strength,physical
try with all my (　　) to lift the piano,strength
I was moved to (　　).,tears
(　　) up the letter from him,tear
This apple (　　) sweet.,tastes
(　　) the soup,taste
This wine has a strong acid (　　).,taste
have good (　　) in clothes,taste
It is against the (　　).,rules
(　　) the country,rule
play an important (　　) in society,role
have a (　　) of making excuses,habit
Different countries have different (　　).,customs
show what is in my suitcase at (　　),customs
Japanese (　　),traditions
women's status in (　　),society
an Internet(　　)dependent society,-
enjoy her (　　),society
the Royal (　　) for the Prevention of Cruelty to Animals,Society
Parking here is against the (　　).,law
a (　　) against smoking on the street,law
the (　　) of nature,laws
My (　　) were French,ancestors
The (　　) of Tokyo is larger than that of Osaka.,population
L.A. has a large Chineses (　　).,population
his (　　) language,native
a (　　) of Japan,native
find a job (　　),abroad
a (　　) bank,local
(　　) government,local
talk with the (　　),locals
according to a recent (　　),survey
(　　) the opinions of teenagers,survey
a body of strong (　　),evidence
the (　　) of the painting,value
